"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"CM0170","2019-09-22 00:00:00","106.000","93.000","3.900","22.300","0.800","996.500","","0.000","-99.000","-99.000","-99.000","26.500","","21.100",""
"C0F860","2019-09-22 00:00:00","2215.000","0.000","0.000","14.800","1.000","778.300","","3.500","-99.000","-99.000","-99.000","20.300","","12.600",""
"C0U890","2019-09-22 00:00:00","116.000","281.000","1.600","22.800","0.970","996.000","","7.500","-99.000","-99.000","-99.000","27.700","","22.100",""
"C0G800","2019-09-22 00:00:00","15.000","35.000","2.200","23.200","0.810","1006.100","","0.000","-99.000","-99.000","-99.000","26.700","","22.300",""
"C0F850","2019-09-22 00:00:00","379.000","19.000","0.300","20.700","0.870","965.600","","0.000","-99.000","-99.000","-99.000","24.900","","19.900",""
"C0AH50","2019-09-22 00:00:00","275.000","259.000","1.700","20.900","0.990","977.800","","72.000","-99.000","-99.000","-99.000","21.200","","19.200",""
"C0Z160","2019-09-22 00:00:00","124.000","207.000","1.200","23.900","0.940","994.400","","31.000","-99.000","-99.000","-99.000","30.600","","18.900",""
"C0R540","2019-09-22 00:00:00","17.000","88.000","1.800","25.300","0.780","1005.000","","0.000","-99.000","-99.000","-99.000","29.400","","23.600",""
"C0K480","2019-09-22 00:00:00","56.000","72.000","1.900","23.500","0.750","1001.400","","0.000","-99.000","-99.000","-99.000","27.000","","22.100",""
"C0T900","2019-09-22 00:00:00","160.000","0.000","0.100","23.100","0.940","987.900","","24.000","-99.000","-99.000","-99.000","29.800","","23.100",""
"C0F9V0","2019-09-22 00:00:00","525.000","101.000","0.700","19.600","0.960","950.700","","0.500","-99.000","-99.000","-99.000","25.000","","18.700",""
"C0UA20","2019-09-22 00:00:00","2619.000","200.000","0.600","11.500","1.000","-99.000","","14.500","-99.000","-99.000","-99.000","15.500","","9.400",""
"C0M850","2019-09-22 00:00:00","695.000","0.000","0.000","19.000","0.990","930.100","","0.000","-99.000","-99.000","-99.000","23.400","","17.800",""
"C0G790","2019-09-22 00:00:00","27.000","1.000","0.900","24.100","0.810","1006.600","","0.000","-99.000","-99.000","-99.000","28.900","","22.900",""
"C0C620","2019-09-22 00:00:00","19.000","149.000","1.600","21.500","0.920","1005.000","","85.500","-99.000","-99.000","-99.000","22.600","","19.500",""
